index	name
1	V1_ROI
2	MST_ROI
3	V6_ROI
4	V2_ROI
5	V3_ROI
6	V4_ROI
7	V8_ROI
8	4_ROI
9	3b_ROI
10	FEF_ROI
11	PEF_ROI
12	55b_ROI
13	V3A_ROI
14	RSC_ROI
15	POS2_ROI
16	V7_ROI
17	IPS1_ROI
18	FFC_ROI
19	V3B_ROI
20	LO1_ROI
21	LO2_ROI
22	PIT_ROI
23	MT_ROI
24	A1_ROI
25	PSL_ROI
26	SFL_ROI
27	PCV_ROI
28	STV_ROI
29	7Pm_ROI
30	7m_ROI
31	POS1_ROI
32	23d_ROI
33	v23ab_ROI
34	d23ab_ROI
35	31pv_ROI
36	5m_ROI
37	5mv_ROI
38	23c_ROI
39	5L_ROI
40	24dd_ROI
41	24dv_ROI
42	7AL_ROI
43	SCEF_ROI
44	6ma_ROI
45	7Am_ROI
46	7PL_ROI
47	7PC_ROI
48	LIPv_ROI
49	VIP_ROI
50	MIP_ROI
51	1_ROI
52	2_ROI
53	3a_ROI
54	6d_ROI
55	6mp_ROI
56	6v_ROI
57	p24pr_ROI
58	33pr_ROI
59	a24pr_ROI
60	p32pr_ROI
61	a24_ROI
62	d32_ROI
63	8BM_ROI
64	p32_ROI
65	10r_ROI
66	47m_ROI
67	8Av_ROI
68	8Ad_ROI
69	9m_ROI
70	8BL_ROI
71	9p_ROI
72	10d_ROI
73	8C_ROI
74	44_ROI
75	45_ROI
76	47l_ROI
77	a47r_ROI
78	6r_ROI
79	IFJa_ROI
80	IFJp_ROI
81	IFSp_ROI
82	IFSa_ROI
83	p9-46v_ROI
84	46_ROI
85	a9-46v_ROI
86	9-46d_ROI
87	9a_ROI
88	10v_ROI
89	a10p_ROI
90	10pp_ROI
91	11l_ROI
92	13l_ROI
93	OFC_ROI
94	47s_ROI
95	LIPd_ROI
96	6a_ROI
97	i6-8_ROI
98	s6-8_ROI
99	43_ROI
100	OP4_ROI
101	OP1_ROI
102	OP2-3_ROI
103	52_ROI
104	RI_ROI
105	PFcm_ROI
106	PoI2_ROI
107	TA2_ROI
108	FOP4_ROI
109	MI_ROI
110	Pir_ROI
111	AVI_ROI
112	AAIC_ROI
113	FOP1_ROI
114	FOP3_ROI
115	FOP2_ROI
116	PFt_ROI
117	AIP_ROI
118	EC_ROI
119	PreS_ROI
120	H_ROI
121	ProS_ROI
122	PeEc_ROI
123	STGa_ROI
124	PBelt_ROI
125	A5_ROI
126	PHA1_ROI
127	PHA3_ROI
128	STSda_ROI
129	STSdp_ROI
130	STSvp_ROI
131	TGd_ROI
132	TE1a_ROI
133	TE1p_ROI
134	TE2a_ROI
135	TF_ROI
136	TE2p_ROI
137	PHT_ROI
138	PH_ROI
139	TPOJ1_ROI
140	TPOJ2_ROI
141	TPOJ3_ROI
142	DVT_ROI
143	PGp_ROI
144	IP2_ROI
145	IP1_ROI
146	IP0_ROI
147	PFop_ROI
148	PF_ROI
149	PFm_ROI
150	PGi_ROI
151	PGs_ROI
152	V6A_ROI
153	VMV1_ROI
154	VMV3_ROI
155	PHA2_ROI
156	V4t_ROI
157	FST_ROI
158	V3CD_ROI
159	LO3_ROI
160	VMV2_ROI
161	31pd_ROI
162	31a_ROI
163	VVC_ROI
164	25_ROI
165	s32_ROI
166	pOFC_ROI
167	PoI1_ROI
168	Ig_ROI
169	FOP5_ROI
170	p10p_ROI
171	p47r_ROI
172	TGv_ROI
173	MBelt_ROI
174	LBelt_ROI
175	A4_ROI
176	STSva_ROI
177	TE1m_ROI
178	PI_ROI
179	a32pr_ROI
180	p24_ROI
