index	name
1	left-caudate
2	right-caudate
3	left-subthalamic-nuclei
4	right-subthalamic-nuclei
5	left-substantia-nigra
6	right-substantia-nigra
7	left-red-nucleus
8	right-red-nucleus
9	left-globus-pallidus-interna
10	right-globus-pallidus-interna
11	left-globus-pallidus-externa
12	right-globus-pallidus-externa
13	left-thalamus
14	right-thalamus
15	left-lateral-ventricle
16	right-lateral-ventricle
17	third-ventricle
18	fourth-ventricle
19	left-amygdala
20	right-amygdala
21	left-internal-capsule
22	right-internal-capsule
23	left-ventral-tegmental-area
24	right-ventral-tegmental-area
25	fornix
26	left-periaqueductal-grey
27	right-periaqueductal-grey
28	left-pedunculopontine-nucleus
29	right-pedunculopontine-nucleus
30	left-claustrum
31	right-claustrum
32	left-inferior-colliculus
33	right-inferior-colliculus
34	left-superior-colliculus
35	right-superior-colliculus
36	left-lateral-habenula
37	right-lateral-habenula
38	left-putamen
39	right-putamen
40	left-nucleus-accumbens
41	right-nucleus-accumbens
42	left-CA1
43	right-CA1
44	left-CA23
45	right-CA23
46	left-dentate-gyrus
47	right-dentate-gyrus
48	left-pre-subiculum
49	right-pre-subiculum
50	left-subiculum
51	right-subiculum
52	left-uncus
53	right-uncus
54	anterior-commissure
55	posterior-commissure
56	left-cholinergic-forebrain-nuclei
57	right-cholinergic-forebrain-nuclei
58	dorsal-raphe-nuclei
59	median-raphe-nuclei
60	left-lateral-geniculate-nucleus
61	right-lateral-geniculate-nucleus
62	left-medial-geniculate-nucleus
63	right-medial-geniculate-nucleus
